char,unihan_stroke,unihan_form,form_source,radical_no,residual,unicode_version
瘦,15,瘦,unihan:identity,104,10,17.0.0
瘩,15,瘩,unihan:identity,104,10,17.0.0
瘪,19,癟,char-table:preferred-traditional+unihan:kTraditionalVariant,104,14,17.0.0
瘫,24,癱,char-table:preferred-traditional+unihan:kTraditionalVariant,104,19,17.0.0
瘭,16,瘭,unihan:identity,104,11,17.0.0
瘰,16,瘰,unihan:identity,104,11,17.0.0
瘳,16,瘳,unihan:identity,104,11,17.0.0
瘴,16,瘴,unihan:identity,104,11,17.0.0
瘵,16,瘵,unihan:identity,104,11,17.0.0
瘸,16,瘸,unihan:identity,104,11,17.0.0
瘼,16,瘼,unihan:identity,104,11,17.0.0
瘾,22,癮,char-table:preferred-traditional+unihan:kTraditionalVariant,104,17,17.0.0
瘿,22,癭,char-table:preferred-traditional+unihan:kTraditionalVariant,104,17,17.0.0
癀,17,癀,unihan:identity,104,12,17.0.0
癃,17,癃,unihan:identity,104,12,17.0.0
癌,17,癌,unihan:identity,104,12,17.0.0
癍,17,癍,unihan:identity,104,12,17.0.0
癔,18,癔,unihan:identity,104,13,17.0.0
癖,18,癖,unihan:identity,104,13,17.0.0
癗,18,癗,unihan:identity,104,13,17.0.0
癜,18,癜,unihan:identity,104,13,17.0.0
癞,21,癩,char-table:preferred-traditional+unihan:kTraditionalVariant,104,16,17.0.0
癣,22,癬,char-table:preferred-traditional+unihan:kTraditionalVariant,104,17,17.0.0
癫,24,癲,char-table:preferred-traditional+unihan:kTraditionalVariant,104,19,17.0.0
癯,23,癯,unihan:identity,104,18,17.0.0
癸,9,癸,unihan:identity,105,4,17.0.0
登,12,登,unihan:identity,105,7,17.0.0
白,5,白,unihan:identity,106,0,17.0.0
百,6,百,unihan:identity,106,1,17.0.0
癿,6,癿,unihan:identity,106,1,17.0.0
皂,7,皂,unihan:identity,106,2,17.0.0
的,8,的,unihan:identity,106,3,17.0.0
皆,9,皆,unihan:identity,106,4,17.0.0
皇,9,皇,unihan:identity,106,4,17.0.0
皈,9,皈,unihan:identity,106,4,17.0.0
皋,10,皋,unihan:identity,106,5,17.0.0
皎,11,皎,unihan:identity,106,6,17.0.0
皑,15,皚,char-table:preferred-traditional+unihan:kTraditionalVariant,106,10,17.0.0
皓,12,皓,unihan:identity,106,7,17.0.0
皕,12,皕,unihan:identity,106,7,17.0.0
皖,12,皖,unihan:identity,106,7,17.0.0
皙,13,皙,unihan:identity,106,8,17.0.0
皛,15,皛,unihan:identity,106,10,17.0.0
皞,15,皞,unihan:identity,106,10,17.0.0
皤,17,皤,unihan:identity,106,12,17.0.0
皦,18,皦,unihan:identity,106,13,17.0.0
皭,23,皭,unihan:identity,106,18,17.0.0
皮,5,皮,unihan:identity,107,0,17.0.0
皱,15,皺,char-table:preferred-traditional+unihan:kTraditionalVariant,107,10,17.0.0
皲,14,皸,char-table:preferred-traditional+unihan:kTraditionalVariant,107,9,17.0.0
皴,12,皴,unihan:identity,107,7,17.0.0
皿,5,皿,unihan:identity,108,0,17.0.0
盂,8,盂,unihan:identity,108,3,17.0.0
盅,9,盅,unihan:identity,108,4,17.0.0
盆,9,盆,unihan:identity,108,4,17.0.0
盈,9,盈,unihan:identity,108,4,17.0.0
盉,10,盉,unihan:identity,108,5,17.0.0
益,10,益,unihan:identity,108,5,17.0.0
盍,10,盍,unihan:identity,108,5,17.0.0
盎,10,盎,unihan:identity,108,5,17.0.0
盏,13,盞,char-table:preferred-traditional+unihan:kTraditionalVariant,108,8,17.0.0
盐,24,鹽,char-table:preferred-traditional+unihan:kTraditionalVariant,197,13,17.0.0
监,14,監,char-table:preferred-traditional+unihan:kTraditionalVariant,108,9,17.0.0
盒,11,盒,unihan:identity,108,6,17.0.0
盔,11,盔,unihan:identity,108,6,17.0.0
盖,16,蓋,char-table:preferred-traditional+unihan:kTraditionalVariant,140,10,17.0.0
盗,12,盜,unihan:kTraditionalVariant[17.0.0],108,7,17.0.0
盘,15,盤,char-table:preferred-traditional+unihan:kTraditionalVariant,108,10,17.0.0
盛,11,盛,unihan:identity,108,6,17.0.0
盟,13,盟,unihan:identity,108,8,17.0.0
盥,16,盥,unihan:identity,108,11,17.0.0
盦,16,盦,unihan:identity,108,11,17.0.0
目,5,目,unihan:identity,109,0,17.0.0
盯,7,盯,unihan:identity,109,2,17.0.0
盱,8,盱,unihan:identity,109,3,17.0.0
盲,8,盲,unihan:identity,109,3,17.0.0
直,8,直,unihan:identity,109,3,17.0.0
盷,9,盷,unihan:identity,109,4,17.0.0
相,9,相,unihan:identity,109,4,17.0.0
盹,9,盹,unihan:identity,109,4,17.0.0
盼,9,盼,unihan:identity,109,4,17.0.0
盾,9,盾,unihan:identity,109,4,17.0.0
省,9,省,unihan:identity,109,4,17.0.0
眄,9,眄,unihan:identity,109,4,17.0.0
眇,9,眇,unihan:identity,109,4,17.0.0
眈,9,眈,unihan:identity,109,4,17.0.0
眉,9,眉,unihan:identity,109,4,17.0.0
眊,9,眊,unihan:identity,109,4,17.0.0
看,9,看,unihan:identity,109,4,17.0.0
眍,16,瞘,unihan:kTraditionalVariant[17.0.0],109,11,17.0.0
眙,10,眙,unihan:identity,109,5,17.0.0
眚,10,眚,unihan:identity,109,5,17.0.0
真,10,真,unihan:identity,109,5,17.0.0
眠,10,眠,unihan:identity,109,5,17.0.0
眢,10,眢,unihan:identity,109,5,17.0.0
眦,10,眥,unihan:kTraditionalVariant[17.0.0],109,5,17.0.0
眨,10,眨,unihan:identity,109,5,17.0.0
眩,10,眩,unihan:identity,109,5,17.0.0
眬,21,矓,char-table:preferred-traditional+unihan:kTraditionalVariant,109,16,17.0.0
眭,11,眭,unihan:identity,109,6,17.0.0
眯,11,眯,unihan:identity,109,6,17.0.0
眵,11,眵,unihan:identity,109,6,17.0.0
眶,11,眶,unihan:identity,109,6,17.0.0
眷,11,眷,unihan:identity,109,6,17.0.0
眸,11,眸,unihan:identity,109,6,17.0.0
眺,11,眺,unihan:identity,109,6,17.0.0
眼,11,眼,unihan:identity,109,6,17.0.0
着,14,著,unihan:kTraditionalVariant[17.0.0],140,8,17.0.0
睁,13,睜,unihan:kTraditionalVariant[17.0.0],109,8,17.0.0
睃,12,睃,unihan:identity,109,7,17.0.0
睄,12,睄,unihan:identity,109,7,17.0.0
睇,12,睇,unihan:identity,109,7,17.0.0
睎,12,睎,unihan:identity,109,7,17.0.0
睐,13,睞,char-table:preferred-traditional+unihan:kTraditionalVariant,109,8,17.0.0
睑,18,瞼,char-table:preferred-traditional+unihan:kTraditionalVariant,109,13,17.0.0
睚,13,睚,unihan:identity,109,8,17.0.0
睛,13,睛,unihan:identity,109,8,17.0.0
睡,14,睡,unihan:identity,109,9,17.0.0
睢,13,睢,unihan:identity,109,8,17.0.0
督,13,督,unihan:identity,109,8,17.0.0
睥,13,睥,unihan:identity,109,8,17.0.0
睦,13,睦,unihan:identity,109,8,17.0.0
睨,13,睨,unihan:identity,109,8,17.0.0
睫,13,睫,unihan:identity,109,8,17.0.0
睬,13,睬,unihan:identity,109,8,17.0.0
睹,14,睹,unihan:identity,109,9,17.0.0
睽,14,睽,unihan:identity,109,9,17.0.0
睾,14,睾,unihan:identity,109,9,17.0.0
睿,14,睿,unihan:identity,109,9,17.0.0
瞀,14,瞀,unihan:identity,109,9,17.0.0
瞄,14,瞄,unihan:identity,109,9,17.0.0
瞅,14,瞅,unihan:identity,109,9,17.0.0
瞋,15,瞋,unihan:identity,109,10,17.0.0
瞌,15,瞌,unihan:identity,109,10,17.0.0
瞍,15,瞍,unihan:identity,109,10,17.0.0
瞎,15,瞎,unihan:identity,109,10,17.0.0
瞑,15,瞑,unihan:identity,109,10,17.0.0
瞒,16,瞞,char-table:preferred-traditional+unihan:kTraditionalVariant,109,11,17.0.0
瞟,16,瞟,unihan:identity,109,11,17.0.0
瞠,16,瞠,unihan:identity,109,11,17.0.0
瞢,16,瞢,unihan:identity,109,11,17.0.0
瞥,17,瞥,unihan:identity,109,12,17.0.0
瞧,17,瞧,unihan:identity,109,12,17.0.0
瞩,26,矚,char-table:preferred-traditional+unihan:kTraditionalVariant,109,21,17.0.0
瞪,17,瞪,unihan:identity,109,12,17.0.0
瞫,17,瞫,unihan:identity,109,12,17.0.0
瞬,17,瞬,unihan:identity,109,12,17.0.0
瞭,17,瞭,unihan:identity,109,12,17.0.0
瞰,17,瞰,unihan:identity,109,12,17.0.0
瞳,17,瞳,unihan:identity,109,12,17.0.0
瞵,17,瞵,unihan:identity,109,12,17.0.0
瞻,18,瞻,unihan:identity,109,13,17.0.0
瞽,18,瞽,unihan:identity,109,13,17.0.0
瞿,18,瞿,unihan:identity,109,13,17.0.0
矍,20,矍,unihan:identity,109,15,17.0.0
矗,24,矗,unihan:identity,109,19,17.0.0
矛,5,矛,unihan:identity,110,0,17.0.0
矜,9,矜,unihan:identity,110,4,17.0.0
矞,12,矞,unihan:identity,110,7,17.0.0
矢,5,矢,unihan:identity,111,0,17.0.0
矣,7,矣,unihan:identity,111,2,17.0.0
知,8,知,unihan:identity,111,3,17.0.0
矧,9,矧,unihan:identity,111,4,17.0.0
矩,10,矩,unihan:identity,111,5,17.0.0
矫,17,矯,char-table:preferred-traditional+unihan:kTraditionalVariant,111,12,17.0.0
矬,12,矬,unihan:identity,111,7,17.0.0
短,12,短,unihan:identity,111,7,17.0.0
矮,13,矮,unihan:identity,111,8,17.0.0
矰,17,矰,unihan:identity,111,12,17.0.0
石,5,石,unihan:identity,112,0,17.0.0
矶,17,磯,char-table:preferred-traditional+unihan:kTraditionalVariant,112,12,17.0.0
矸,8,矸,unihan:identity,112,3,17.0.0
矻,8,矻,unihan:identity,112,3,17.0.0
矼,8,矼,unihan:identity,112,3,17.0.0
矾,20,礬,char-table:preferred-traditional+unihan:kTraditionalVariant,112,15,17.0.0
矿,20,礦,char-table:preferred-traditional+unihan:kTraditionalVariant,112,15,17.0.0
砀,14,碭,char-table:preferred-traditional+unihan:kTraditionalVariant,112,9,17.0.0
码,15,碼,char-table:preferred-traditional+unihan:kTraditionalVariant,112,10,17.0.0
砂,9,砂,unihan:identity,112,4,17.0.0
砄,9,砄,unihan:identity,112,4,17.0.0
砆,9,砆,unihan:identity,112,4,17.0.0
砉,9,砉,unihan:identity,112,4,17.0.0
砌,9,砌,unihan:identity,112,4,17.0.0
砍,9,砍,unihan:identity,112,4,17.0.0
砑,9,砑,unihan:identity,112,4,17.0.0
砒,9,砒,unihan:identity,112,4,17.0.0
研,9,研,unihan:identity,112,4,17.0.0
砖,16,磚,char-table:preferred-traditional+unihan:kTraditionalVariant,112,11,17.0.0
砗,12,硨,char-table:preferred-traditional+unihan:kTraditionalVariant,112,7,17.0.0
砘,9,砘,unihan:identity,112,4,17.0.0
砚,12,硯,char-table:preferred-traditional+unihan:kTraditionalVariant,112,7,17.0.0
砜,14,碸,char-table:preferred-traditional+unihan:kTraditionalVariant,112,9,17.0.0
砝,10,砝,unihan:identity,112,5,17.0.0
砟,10,砟,unihan:identity,112,5,17.0.0
砠,10,砠,unihan:identity,112,5,17.0.0
砣,10,砣,unihan:identity,112,5,17.0.0
砥,10,砥,unihan:identity,112,5,17.0.0
砧,10,砧,unihan:identity,112,5,17.0.0
砫,10,砫,unihan:identity,112,5,17.0.0
砬,10,砬,unihan:identity,112,5,17.0.0
砭,10,砭,unihan:identity,112,5,17.0.0
砮,10,砮,unihan:identity,112,5,17.0.0
砰,10,砰,unihan:identity,112,5,17.0.0
破,10,破,unihan:identity,112,5,17.0.0
砵,10,砵,unihan:identity,112,5,17.0.0
砷,10,砷,unihan:identity,112,5,17.0.0
砸,10,砸,unihan:identity,112,5,17.0.0
砹,10,砹,unihan:identity,112,5,17.0.0
砺,20,礪,char-table:preferred-traditional+unihan:kTraditionalVariant,112,15,17.0.0
砻,21,礱,char-table:preferred-traditional+unihan:kTraditionalVariant,112,16,17.0.0
砼,10,砼,unihan:identity,112,5,17.0.0
砾,20,礫,char-table:preferred-traditional+unihan:kTraditionalVariant,112,15,17.0.0
础,18,礎,char-table:preferred-traditional+unihan:kTraditionalVariant,112,13,17.0.0
硁,12,硜,char-table:preferred-traditional+unihan:kTraditionalVariant,112,7,17.0.0
硅,11,硅,unihan:identity,112,6,17.0.0
硇,11,硇,unihan:identity,112,6,17.0.0
硊,11,硊,unihan:identity,112,6,17.0.0
硌,11,硌,unihan:identity,112,6,17.0.0
硍,11,硍,unihan:identity,112,6,17.0.0
硎,11,硎,unihan:identity,112,6,17.0.0
硐,11,硐,unihan:identity,112,6,17.0.0
硒,11,硒,unihan:identity,112,6,17.0.0
硔,11,硔,unihan:identity,112,6,17.0.0
硕,14,碩,char-table:preferred-traditional+unihan:kTraditionalVariant,112,9,17.0.0
硖,12,硤,char-table:preferred-traditional+unihan:kTraditionalVariant,112,7,17.0.0
硗,17,磽,unihan:kTraditionalVariant[17.0.0],112,12,17.0.0
硙,15,磑,char-table:preferred-traditional+unihan:kTraditionalVariant,112,10,17.0.0
硚,17,礄,char-table:preferred-traditional+unihan:kTraditionalVariant,112,12,17.0.0
硝,12,硝,unihan:identity,112,7,17.0.0
硪,12,硪,unihan:identity,112,7,17.0.0
硫,12,硫,unihan:identity,112,7,17.0.0
硬,12,硬,unihan:identity,112,7,17.0.0
硭,12,硭,unihan:identity,112,7,17.0.0
确,15,確,char-table:preferred-traditional+unihan:kTraditionalVariant,112,10,17.0.0
硼,13,硼,unihan:identity,112,8,17.0.0
硿,13,硿,unihan:identity,112,8,17.0.0
碃,13,碃,unihan:identity,112,8,17.0.0
碇,13,碇,unihan:identity,112,8,17.0.0
碈,13,碈,unihan:identity,112,8,17.0.0
碉,13,碉,unihan:identity,112,8,17.0.0
碌,13,碌,unihan:identity,112,8,17.0.0
碍,19,礙,char-table:preferred-traditional+unihan:kTraditionalVariant,112,14,17.0.0
碎,13,碎,unihan:identity,112,8,17.0.0
碏,13,碏,unihan:identity,112,8,17.0.0
碑,13,碑,unihan:identity,112,8,17.0.0
碓,13,碓,unihan:identity,112,8,17.0.0
碗,13,碗,unihan:identity,112,8,17.0.0
碘,13,碘,unihan:identity,112,8,17.0.0
碚,13,碚,unihan:identity,112,8,17.0.0
碛,16,磧,char-table:preferred-traditional+unihan:kTraditionalVariant,112,11,17.0.0
碜,16,磣,char-table:preferred-traditional+unihan:kTraditionalVariant,112,11,17.0.0
碟,14,碟,unihan:identity,112,9,17.0.0
碡,14,碡,unihan:identity,112,9,17.0.0
碣,14,碣,unihan:identity,112,9,17.0.0
碥,14,碥,unihan:identity,112,9,17.0.0
碧,14,碧,unihan:identity,112,9,17.0.0
碨,14,碨,unihan:identity,112,9,17.0.0
碰,13,碰,unihan:identity,112,8,17.0.0
碱,14,碱,unihan:identity,112,9,17.0.0
碲,14,碲,unihan:identity,112,9,17.0.0
碳,14,碳,unihan:identity,112,9,17.0.0
碴,14,碴,unihan:identity,112,9,17.0.0
碶,14,碶,unihan:identity,112,9,17.0.0
碹,14,碹,unihan:identity,112,9,17.0.0
碾,15,碾,unihan:identity,112,10,17.0.0
磁,14,磁,unihan:identity,112,9,17.0.0
磅,15,磅,unihan:identity,112,10,17.0.0
磉,15,磉,unihan:identity,112,10,17.0.0
磊,15,磊,unihan:identity,112,10,17.0.0
磋,15,磋,unihan:identity,112,10,17.0.0
磏,15,磏,unihan:identity,112,10,17.0.0
磐,15,磐,unihan:identity,112,10,17.0.0
磔,15,磔,unihan:identity,112,10,17.0.0
磕,15,磕,unihan:identity,112,10,17.0.0
磙,15,磙,unihan:identity,112,10,17.0.0
磜,15,磜,unihan:identity,112,10,17.0.0
磡,16,磡,unihan:identity,112,11,17.0.0
磨,16,磨,unihan:identity,112,11,17.0.0
磬,16,磬,unihan:identity,112,11,17.0.0
磲,17,磲,unihan:identity,112,12,17.0.0
磴,17,磴,unihan:identity,112,12,17.0.0
磷,17,磷,unihan:identity,112,12,17.0.0
磹,17,磹,unihan:identity,112,12,17.0.0
磻,17,磻,unihan:identity,112,12,17.0.0
礁,17,礁,unihan:identity,112,12,17.0.0
礅,17,礅,unihan:identity,112,12,17.0.0
礌,18,礌,unihan:identity,112,13,17.0.0
礓,18,礓,unihan:identity,112,13,17.0.0
礞,19,礞,unihan:identity,112,14,17.0.0
礴,21,礴,unihan:identity,112,16,17.0.0
礵,22,礵,unihan:identity,112,17,17.0.0
示,5,示,unihan:identity,113,0,17.0.0
礼,18,禮,char-table:preferred-traditional+unihan:kTraditionalVariant,113,13,17.0.0
社,8,社,unihan:identity,113,3,17.0.0
祀,8,祀,unihan:identity,113,3,17.0.0
祁,8,祁,unihan:identity,113,3,17.0.0
祃,15,禡,char-table:preferred-traditional+unihan:kTraditionalVariant,113,10,17.0.0
祆,9,祆,unihan:identity,113,4,17.0.0
祇,9,祇,unihan:identity,113,4,17.0.0
祈,9,祈,unihan:identity,113,4,17.0.0
祉,9,祉,unihan:identity,113,4,17.0.0
祊,9,祊,unihan:identity,113,4,17.0.0
祋,9,祋,unihan:identity,113,4,17.0.0
祎,14,禕,char-table:preferred-traditional+unihan:kTraditionalVariant,113,9,17.0.0
祏,10,祏,unihan:identity,113,5,17.0.0
祐,10,祐,unihan:identity,113,5,17.0.0
祓,10,祓,unihan:identity,113,5,17.0.0
祕,10,祕,unihan:identity,113,5,17.0.0
祖,10,祖,unihan:identity,113,5,17.0.0
祗,10,祗,unihan:identity,113,5,17.0.0
祚,10,祚,unihan:identity,113,5,17.0.0
祛,10,祛,unihan:identity,113,5,17.0.0
祜,10,祜,unihan:identity,113,5,17.0.0
祝,10,祝,unihan:identity,113,5,17.0.0
神,10,神,unihan:identity,113,5,17.0.0
祟,10,祟,unihan:identity,113,5,17.0.0
祠,10,祠,unihan:identity,113,5,17.0.0
祢,19,禰,char-table:preferred-traditional+unihan:kTraditionalVariant,113,14,17.0.0
祥,11,祥,unihan:identity,113,6,17.0.0
祧,11,祧,unihan:identity,113,6,17.0.0
票,11,票,unihan:identity,113,6,17.0.0
祭,11,祭,unihan:identity,113,6,17.0.0
祯,14,禎,char-table:preferred-traditional+unihan:kTraditionalVariant,113,9,17.0.0
祲,12,祲,unihan:identity,113,7,17.0.0
祷,19,禱,char-table:preferred-traditional+unihan:kTraditionalVariant,113,14,17.0.0
祸,14,禍,char-table:preferred-traditional+unihan:kTraditionalVariant,113,9,17.0.0
祺,13,祺,unihan:identity,113,8,17.0.0
祼,13,祼,unihan:identity,113,8,17.0.0
祾,13,祾,unihan:identity,113,8,17.0.0
禀,13,稟,unihan:kTraditionalVariant[17.0.0],115,8,17.0.0
禁,13,禁,unihan:identity,113,8,17.0.0
禄,13,祿,unihan:kTraditionalVariant[17.0.0],113,8,17.0.0
禅,17,禪,char-table:preferred-traditional+unihan:kTraditionalVariant,113,12,17.0.0
禊,14,禊,unihan:identity,113,9,17.0.0
禋,14,禋,unihan:identity,113,9,17.0.0
福,14,福,unihan:identity,113,9,17.0.0
禒,14,禒,unihan:identity,113,9,17.0.0
禔,14,禔,unihan:identity,113,9,17.0.0
禘,14,禘,unihan:identity,113,9,17.0.0
禚,15,禚,unihan:identity,113,10,17.0.0
禛,15,禛,unihan:identity,113,10,17.0.0
禤,16,禤,unihan:identity,113,11,17.0.0
禧,17,禧,unihan:identity,113,12,17.0.0
禳,22,禳,unihan:identity,113,17,17.0.0
禹,9,禹,unihan:identity,114,4,17.0.0
禺,9,禺,unihan:identity,114,4,17.0.0
离,19,離,char-table:preferred-traditional+unihan:kTraditionalVariant,172,11,17.0.0
禽,13,禽,unihan:identity,114,8,17.0.0
禾,5,禾,unihan:identity,115,0,17.0.0
秀,7,秀,unihan:identity,115,2,17.0.0
私,7,私,unihan:identity,115,2,17.0.0
秃,7,禿,unihan:kTraditionalVariant[17.0.0],115,2,17.0.0
秆,12,稈,unihan:kTraditionalVariant[17.0.0],115,7,17.0.0
秉,8,秉,unihan:identity,115,3,17.0.0
秋,18,鞦,unihan:kTraditionalVariant[17.0.0],177,9,17.0.0
种,14,種,char-table:preferred-traditional+unihan:kTraditionalVariant,115,9,17.0.0
科,9,科,unihan:identity,115,4,17.0.0
秒,9,秒,unihan:identity,115,4,17.0.0
秕,9,秕,unihan:identity,115,4,17.0.0
秘,10,秘,unihan:identity,115,5,17.0.0
租,10,租,unihan:identity,115,5,17.0.0
秣,10,秣,unihan:identity,115,5,17.0.0
秤,10,秤,unihan:identity,115,5,17.0.0
秦,10,秦,unihan:identity,115,5,17.0.0
秧,10,秧,unihan:identity,115,5,17.0.0
秩,10,秩,unihan:identity,115,5,17.0.0
秫,10,秫,unihan:identity,115,5,17.0.0
秬,10,秬,unihan:identity,115,5,17.0.0
秭,10,秭,unihan:identity,115,5,17.0.0
积,16,積,char-table:preferred-traditional+unihan:kTraditionalVariant,115,11,17.0.0
称,14,稱,char-table:preferred-traditional+unihan:kTraditionalVariant,115,9,17.0.0
秸,11,秸,unihan:identity,115,6,17.0.0
移,11,移,unihan:identity,115,6,17.0.0
秽,18,穢,char-table:preferred-traditional+unihan:kTraditionalVariant,115,13,17.0.0
秾,18,穠,char-table:preferred-traditional+unihan:kTraditionalVariant,115,13,17.0.0
稀,12,稀,unihan:identity,115,7,17.0.0
稂,12,稂,unihan:identity,115,7,17.0.0
稃,12,稃,unihan:identity,115,7,17.0.0
稆,20,穭,unihan:kTraditionalVariant[17.0.0],115,15,17.0.0
程,12,程,unihan:identity,115,7,17.0.0
稌,12,稌,unihan:identity,115,7,17.0.0
稍,12,稍,unihan:identity,115,7,17.0.0
税,12,稅,unihan:kTraditionalVariant[17.0.0],115,7,17.0.0
稑,13,稑,unihan:identity,115,8,17.0.0
稔,13,稔,unihan:identity,115,8,17.0.0
稗,13,稗,unihan:identity,115,8,17.0.0
稙,13,稙,unihan:identity,115,8,17.0.0
稚,13,稚,unihan:identity,115,8,17.0.0
稞,13,稞,unihan:identity,115,8,17.0.0
稠,13,稠,unihan:identity,115,8,17.0.0
稣,16,穌,char-table:preferred-traditional+unihan:kTraditionalVariant,115,11,17.0.0
稳,19,穩,char-table:preferred-traditional+unihan:kTraditionalVariant,115,14,17.0.0
稷,15,稷,unihan:identity,115,10,17.0.0
稹,15,稹,unihan:identity,115,10,17.0.0
稻,15,稻,unihan:identity,115,10,17.0.0
稼,15,稼,unihan:identity,115,10,17.0.0
稽,15,稽,unihan:identity,115,10,17.0.0
稿,15,稿,unihan:identity,115,10,17.0.0
穄,16,穄,unihan:identity,115,11,17.0.0
穆,16,穆,unihan:identity,115,11,17.0.0
穑,18,穡,char-table:preferred-traditional+unihan:kTraditionalVariant,115,13,17.0.0
穗,17,穗,unihan:identity,115,12,17.0.0
穙,17,穙,unihan:identity,115,12,17.0.0
穜,17,穜,unihan:identity,115,12,17.0.0
穟,18,穟,unihan:identity,115,13,17.0.0
穰,22,穰,unihan:identity,115,17,17.0.0
穴,5,穴,unihan:identity,116,0,17.0.0
究,7,究,unihan:identity,116,2,17.0.0
穷,15,窮,char-table:preferred-traditional+unihan:kTraditionalVariant,116,10,17.0.0
穸,8,穸,unihan:identity,116,3,17.0.0
穹,8,穹,unihan:identity,116,3,17.0.0
空,8,空,unihan:identity,116,3,17.0.0
穿,9,穿,unihan:identity,116,4,17.0.0
窀,9,窀,unihan:identity,116,4,17.0.0
突,9,突,unihan:identity,116,4,17.0.0
窃,22,竊,char-table:preferred-traditional+unihan:kTraditionalVariant,116,17,17.0.0
窄,10,窄,unihan:identity,116,5,17.0.0
窅,10,窅,unihan:identity,116,5,17.0.0
窈,10,窈,unihan:identity,116,5,17.0.0
窊,10,窊,unihan:identity,116,5,17.0.0
窍,18,竅,char-table:preferred-traditional+unihan:kTraditionalVariant,116,13,17.0.0
窎,16,窵,char-table:preferred-traditional+unihan:kTraditionalVariant,116,11,17.0.0
窑,15,窯,unihan:kTraditionalVariant[17.0.0],116,10,17.0.0
窒,11,窒,unihan:identity,116,6,17.0.0
窕,11,窕,unihan:identity,116,6,17.0.0
窖,12,窖,unihan:identity,116,7,17.0.0
窗,12,窗,unihan:identity,116,7,17.0.0
窘,12,窘,unihan:identity,116,7,17.0.0
窜,18,竄,char-table:preferred-traditional+unihan:kTraditionalVariant,116,13,17.0.0
窝,14,窩,char-table:preferred-traditional+unihan:kTraditionalVariant,116,9,17.0.0
窟,13,窟,unihan:identity,116,8,17.0.0
窠,13,窠,unihan:identity,116,8,17.0.0
窣,13,窣,unihan:identity,116,8,17.0.0
窥,16,窺,char-table:preferred-traditional+unihan:kTraditionalVariant,116,11,17.0.0
窦,20,竇,char-table:preferred-traditional+unihan:kTraditionalVariant,116,15,17.0.0
窨,14,窨,unihan:identity,116,9,17.0.0
窬,14,窬,unihan:identity,116,9,17.0.0
窭,16,窶,char-table:preferred-traditional+unihan:kTraditionalVariant,116,11,17.0.0
窳,15,窳,unihan:identity,116,10,17.0.0
窸,16,窸,unihan:identity,116,11,17.0.0
窿,17,窿,unihan:identity,116,12,17.0.0
立,5,立,unihan:identity,117,0,17.0.0
竑,9,竑,unihan:identity,117,4,17.0.0
竖,13,竪,char-table:preferred-traditional+unihan:kTraditionalVariant,117,8,17.0.0
竘,10,竘,unihan:identity,117,5,17.0.0
站,10,站,unihan:identity,117,5,17.0.0
竞,20,競,char-table:preferred-traditional+unihan:kTraditionalVariant,117,15,17.0.0
竟,11,竟,unihan:identity,117,6,17.0.0
章,11,章,unihan:identity,117,6,17.0.0
竣,12,竣,unihan:identity,117,7,17.0.0
童,12,童,unihan:identity,117,7,17.0.0
竦,12,竦,unihan:identity,117,7,17.0.0
竫,13,竫,unihan:identity,117,8,17.0.0
竭,14,竭,unihan:identity,117,9,17.0.0
端,14,端,unihan:identity,117,9,17.0.0
竹,6,竹,unihan:identity,118,0,17.0.0
竺,8,竺,unihan:identity,118,2,17.0.0
竽,9,竽,unihan:identity,118,3,17.0.0
竿,9,竿,unihan:identity,118,3,17.0.0
笃,16,篤,char-table:preferred-traditional+unihan:kTraditionalVariant,118,10,17.0.0
笄,12,笄,unihan:identity,118,6,17.0.0
笆,10,笆,unihan:identity,118,4,17.0.0
笈,10,笈,unihan:identity,118,4,17.0.0
笊,10,笊,unihan:identity,118,4,17.0.0
笋,12,筍,unihan:kTraditionalVariant[17.0.0],118,6,17.0.0
笏,10,笏,unihan:identity,118,4,17.0.0
笑,10,笑,unihan:identity,118,4,17.0.0
笔,12,筆,char-table:preferred-traditional+unihan:kTraditionalVariant,118,6,17.0.0
笕,13,筧,char-table:preferred-traditional+unihan:kTraditionalVariant,118,7,17.0.0
笙,11,笙,unihan:identity,118,5,17.0.0
笛,11,笛,unihan:identity,118,5,17.0.0
笞,11,笞,unihan:identity,118,5,17.0.0
笠,11,笠,unihan:identity,118,5,17.0.0
笤,11,笤,unihan:identity,118,5,17.0.0
笥,11,笥,unihan:identity,118,5,17.0.0
符,11,符,unihan:identity,118,5,17.0.0
笨,11,笨,unihan:identity,118,5,17.0.0
笪,11,笪,unihan:identity,118,5,17.0.0
笫,11,笫,unihan:identity,118,5,17.0.0
第,11,第,unihan:identity,118,5,17.0.0
笮,11,笮,unihan:identity,118,5,17.0.0
笯,11,笯,unihan:identity,118,5,17.0.0
笱,11,笱,unihan:identity,118,5,17.0.0
笳,11,笳,unihan:identity,118,5,17.0.0
笸,11,笸,unihan:identity,118,5,17.0.0
笺,14,箋,char-table:preferred-traditional+unihan:kTraditionalVariant,118,8,17.0.0
笼,22,籠,char-table:preferred-traditional+unihan:kTraditionalVariant,118,16,17.0.0
笾,25,籩,char-table:preferred-traditional+unihan:kTraditionalVariant,118,19,17.0.0
筀,12,筀,unihan:identity,118,6,17.0.0
筅,12,筅,unihan:identity,118,6,17.0.0
筇,12,筇,unihan:identity,118,6,17.0.0
等,12,等,unihan:identity,118,6,17.0.0
筋,12,筋,unihan:identity,118,6,17.0.0
